,교과구분,개설대학,개설학과,학년,교과목 번호,강좌번호,교과목명(부제명),학점-강의-실습,수업교시-수업형태-강의실(동-호),담당교수,강의계획서,정원,수강신청인원,비고
0,교양,인문대학,미학과,1학년,C10.102,001,공연예술의 이해,3-3-0,"['화(09:30~10:45)', '이론', '8-101(무선랜제공)', '목(09:30~10:45)', '이론', '8-101(무선랜제공)']",전예완 (대표교수),Y,60 (30),57,
1,교양,인문대학,미학과,1학년,C10.102,002,공연예술의 이해,3-3-0,"['화(14:00~15:15)', '이론', '8-B101(무선랜제공)', '목(14:00~15:15)', '이론', '8-B101(무선랜제공)']",김민정 (대표교수),Y,60 (30),37,
2,교양,인문대학,미학과,1학년,C10.102,003,공연예술의 이해,3-3-0,"['월(15:30~16:45)', '이론', '7-210', '수(15:30~16:45)', '이론', '7-210']",임승태 (대표교수),Y,60 (30),35,
3,교양,인문대학,미학과,1학년,C10.102,004,공연예술의 이해,3-3-0,"['월(14:00~15:15)', '이론', '9-119(무선랜제공)', '수(14:00~15:15)', '이론', '9-119(무선랜제공)']",임승태 (대표교수),Y,60 (30),25,
4,교양,인문대학,협동과정  서양고전학전공,1학년,C10.103,001,그리스.로마신화,3-3-0,"['화(11:00~12:15)', '이론', '83-604(무선랜제공)', '목(11:00~12:15)', '이론', '83-604(무선랜제공)']",한경자 (대표교수),Y,60 (30),49,
5,교양,인문대학,협동과정  서양고전학전공,1학년,C10.103,002,그리스.로마신화,3-3-0,"['', '', '']",김헌 (대표교수),Y,300 (300),312,수강신청제한 ⓜⓞ군복무 학점인정 원격수업 / 별도 사이트에서 신청
6,교양,인문대학,협동과정  서양고전학전공,1학년,C10.104,001,그리스비극,3-3-0,"['월(09:30~10:45)', '이론', '3-102(무선랜제공)', '수(09:30~10:45)', '이론', '3-102(무선랜제공)']",장시은 (대표교수),Y,60 (30),37,
7,교양,인문대학,역사학부(서양사학전공),1학년,C10.105,001,기독교와 서양문명,3-3-0,"['화(14:00~15:15)', '이론', '7-106(무선랜제공)', '목(14:00~15:15)', '이론', '7-106(무선랜제공)']",고재백 (대표교수),Y,60 (30),64,
8,교양,인문대학,미학과,1학년,C10.106,001,대중예술의 이해,3-3-0,"['월(15:30~16:45)', '이론', '9-119(무선랜제공)', '수(15:30~16:45)', '이론', '9-119(무선랜제공)']",이다민 (대표교수),Y,60 (30),61,
9,교양,인문대학,미학과,1학년,C10.106,002,대중예술의 이해,3-3-0,"['월(14:00~15:15)', '이론', '14-B101(무선랜제공)', '수(14:00~15:15)', '이론', '14-B101(무선랜제공)']",김상민 (대표교수),Y,60 (30),47,
10,교양,인문대학,미학과,1학년,C10.106,003,대중예술의 이해,3-3-0,"['월(11:00~12:15)', '이론', '83-404(무선랜제공)', '수(11:00~12:15)', '이론', '83-404(무선랜제공)']",민현준 (대표교수),Y,60 (30),49,ⓔ
11,교양,인문대학,미학과,1학년,C10.106,004,대중예술의 이해,3-3-0,"['화(14:00~15:15)', '이론', '5-107-1(무선랜제공)', '목(14:00~15:15)', '이론', '5-107-1(무선랜제공)']",계영경 (대표교수),Y,60 (30),19,
12,교양,인문대학,노어노문학과,1학년,C10.107,001,도스토예프스키와 톨스토이,3-3-0,"['화(14:00~15:15)', '이론', '8-301(무선랜제공)', '목(14:00~15:15)', '이론', '8-301(무선랜제공)']",박종소 (대표교수),Y,60 (42),41,*(권장과목)
13,교양,인문대학,역사학부(서양사학전공),1학년,C10.108,001,도시의 문화사 ,3-3-0,"['월(17:00~18:15)', '이론', '7-101(무선랜제공)', '수(17:00~18:15)', '이론', '7-101(무선랜제공)']",박용진 (대표교수),Y,60 (30),26,
14,교양,인문대학,독어독문학과,1학년,C10.109,001,독일명작의 이해,3-3-0,"['화(11:00~12:15)', '이론', '2-408(무선랜제공)', '목(11:00~12:15)', '이론', '2-408(무선랜제공)']",최가람 (대표교수),Y,60 (30),14,
15,교양,인문대학,협동과정  비교문학전공,,C10.110,001,동서양 명작 읽기,3-3-0,"['월(11:00~12:15)', '이론', '7-203(무선랜제공)', '수(11:00~12:15)', '이론', '7-203(무선랜제공)']",서영채 (대표교수),Y,60 (18),26,
16,교양,인문대학,협동과정  비교문학전공,,C10.110,002,동서양 명작 읽기,3-3-0,"['화(12:30~13:45)', '이론', '7-203(무선랜제공)', '목(12:30~13:45)', '이론', '7-203(무선랜제공)']",이유경 (대표교수),Y,60 (18),26,
17,교양,미술대학,서양화과,1학년,C10.111,001,동시대 미술과 현장,3-3-0,"['월(09:00~10:20)', '이론', '74-201(무선랜제공)', '화(09:00~10:20)', '이론', '74-201(무선랜제공)']",박용석 (대표교수),Y,60 (30),8,미대생은 수강신청 변경기간에만 수강신청 가능
